timestamp,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,ozone
1510207200,Mostly Cloudy,partly-cloudy-night,0,0,40.74,40.74,38.97,0.93,1024.45,2.17,291,0.88,2.71,
1510210800,Mostly Cloudy,partly-cloudy-day,0,0,40.89,40.89,39.35,0.94,1025.08,1.77,296,0.91,2.3,
1510214400,Mostly Cloudy,partly-cloudy-day,0,0,42.05,42.05,39.74,0.91,1025.59,2.66,265,0.91,2.67,
1510218000,Mostly Cloudy,partly-cloudy-day,0,0,43.1,41.09,40.28,0.9,1025.97,3.79,258,0.91,3.09,
1510221600,Mostly Cloudy,partly-cloudy-day,0,0,44.25,44.25,40.48,0.86,1026.08,1.96,252,0.91,3.84,
1510225200,Overcast,cloudy,0.0006,0.06,rain,45.72,44.5,40.73,0.83,1025.91,3.34,228,0.95,5.02,
1510228800,Overcast,cloudy,0,0,46.27,46.27,41.42,0.83,1025.71,2.69,231,0.96,5.1,
1510232400,Overcast,cloudy,0,0,46.76,44.94,41.34,0.81,1025.48,4.23,245,0.97,5.21,
1510236000,Mostly Cloudy,partly-cloudy-day,0,0,46.8,44.96,41.43,0.81,1025.31,4.28,231,0.88,5.52,
1510239600,Mostly Cloudy,partly-cloudy-day,0,0,46.74,44.92,41.4,0.82,1025.5,4.23,240,0.85,5.06,
1510243200,Mostly Cloudy,partly-cloudy-day,0,0,45.26,43.28,41.58,0.87,1025.47,4.14,227,0.9,4.76,
1510246800,Mostly Cloudy,partly-cloudy-night,0,0,44.13,41.68,40.71,0.88,1025.64,4.52,205,0.87,4.52,
1510250400,Partly Cloudy,partly-cloudy-night,0,0,43.18,40.52,40.35,0.9,1025.97,4.58,206,0.46,3.95,
1510254000,Partly Cloudy,partly-cloudy-night,0,0,42.94,40.3,40.43,0.91,1026.15,4.51,216,0.54,4.03,
1510257600,Partly Cloudy,partly-cloudy-night,0,0,43.19,40.89,40.94,0.92,1026.32,4.13,205,0.34,3.63,
1510261200,Mostly Cloudy,partly-cloudy-night,0,0,44.2,40.77,41.63,0.91,1026.04,5.99,213,0.81,3.8,
1510264800,Mostly Cloudy,partly-cloudy-night,0.0006,0.06,rain,44.05,40.79,41.95,0.92,1025.9,5.66,212,0.92,3.6,
1510268400,Mostly Cloudy,partly-cloudy-night,0.0026,0.13,rain,44.19,40.16,42.2,0.93,1025.94,7.05,202,0.88,3.12,
1510272000,Overcast,cloudy,0,0,43.95,39.41,42.57,0.95,1025.14,7.97,208,0.97,3.6,
